projectName,buildingName,url
Ulvenkroken,Hus A,https://vy-homefinder.herokuapp.com/embed/6CiLzwQvRxCKDJ23q?
Ulvenkroken,Hus B,https://vy-homefinder.herokuapp.com/embed/ygjLxNggKLyT8WEs5?
Løren botaniske,Hus 1,https://vy-homefinder.herokuapp.com/embed/xZvijrW4tH6Rmp8rs?
Løren botaniske,Hus 2,https://vy-homefinder.herokuapp.com/embed/RpEzKhbbYa9pmeTHu?
Løren botaniske,Hus 3,https://vy-homefinder.herokuapp.com/embed/aYoEXgzu7Ld9NcYAm?
Løren botaniske,Hus 4,https://vy-homefinder.herokuapp.com/embed/jpztKtnoYXQ6hXpvm?
Løren botaniske,Hus 5,https://vy-homefinder.herokuapp.com/embed/9yGGP9tuD7zvEE8Cw?
Løren botaniske,Hus 6,https://vy-homefinder.herokuapp.com/embed/eYGxC58o7ZxgGu4CM?
Løren botaniske,Hus 7,https://vy-homefinder.herokuapp.com/embed/EAKPZxmuuu4dGPLAq?
Vollebekk - Humla,I-5,https://vy-homefinder.herokuapp.com/embed/xC9RPrvYoncnT4McN?
Vollebekk - Humla,I-7,https://vy-homefinder.herokuapp.com/embed/7mGP7wBNf5FamiAH8?